"","t1","t2"
"1","10:30","17:30"
"2","18:00","21:00"
"3","11:30","12:00"
"4","13:00","15:30"
"5","14:45","16:30"
"6","13:56","17:20"
"7","09:30","17:30"
"8","14:40","18:05"
"9","11:00","18:00"
"10","14:40","18:05"
"11","13:00","15:40"
"12","15:00","16:00"
"13","14:10","16:00"
"14","14:00","18:00"
"15","10:15","17:20"
"16","16:00","17:00"
"17","15:57","17:30"
"18","12:30","17:30"
"19","09:30","17:00"
"20","15:35","17:05"
"21","15:30","16:58"
"22","11:15","17:30"
"23","09:30","17:00"
"24","12:00","15:45"
"25","12:00",NA
"26","12:30","16:10"
"27","12:40","15:00"
"28","11:50","16:45"
"29","09:30","17:00"
"30","13:50","15:20"
"31","10:00","17:00"
"32","09:00","17:30"
"33","12:40","15:00"
"34","10:30","18:30"
"35","09:05","17:30"
"36","12:40","15:00"
"37","12:30","17:30"
"38","12:00","17:00"
"39","14:30","14:45"
"40","10:30","17:25"
"41","09:45","17:10"
"42","13:15","14:20"
"43","13:40","14:50"
"44","14:40","16:30"
"45","13:50","15:20"
"46","14:00","17:40"
"47","14:00","16:30"
"48","13:00","18:00"
"49","14:00","16:00"
"50","14:00","15:30"
"51","15:40","16:15"
"52",NA,NA
"53","11:00","16:30"
"54","14:15","15:30"
"55","14:30","16:30"
"56","14:30","15:30"
"57","09:50","17:30"
"58","14:00","16:30"
"59","13:10","16:40"
"60","13:00","17:00"
"61","14:30","16:00"
"62","14:45","16:30"
"63","14:00","16:00"
"64","13:30","17:00"
"65","13:30","15:10"
"66","14:00","17:30"
"67","12:55","15:35"
"68","12:00","18:00"
"69","14:00","16:30"
"70","13:20","16:45"
"71","09:50","18:00"
"72","11:15","12:40"
"73","12:00","17:30"
"74","13:40","15:30"
"75","14:00","17:30"
"76","14:00","17:00"
"77","14:50","16:20"
"78","11:00","15:00"
"79","11:30","17:30"
"80",NA,NA
"81","14:00","18:00"
"82","12:30","17:30"
"83","14:00","17:00"
"84","13:00","18:00"
"85","13:00","16:20"
"86","10:50","17:40"
"87","12:00","16:30"
"88","14:40","16:30"
"89",NA,NA
"90","13:45","17:10"
"91","12:30","17:30"
"92","12:30","17:00"
"93","10:20","17:30"
"94","14:00","15:00"
"95","14:00","16:00"
"96","14:00","18:00"
"97","13:50","16:30"
"98","14:50","15:45"
"99","11:20","17:20"
"100","11:30","16:50"
"101","11:10","16:45"
"102","13:00","18:00"
"103","14:00","16:30"
"104","14:25","16:30"
"105","14:03","17:05"
"106","13:00","17:10"
"107","11:30","13:50"
"108","11:00","16:00"
"109","10:55","11:25"
"110","13:50","17:20"
"111","14:10","15:20"
"112","14:10","16:30"
"113","13:40","16:00"
"114","15:00","17:20"
"115","10:30","17:00"
"116","12:10","15:40"
"117","14:20","16:00"
"118","14:41","15:59"
"119","15:30","17:15"
"120","13:00","15:10"
"121","10:30","17:30"
"122","12:30","16:00"
"123","14:00","17:00"
"124","14:30","15:20"
"125","14:32","15:38"
"126","14:00","14:30"
"127","12:00","18:21"
"128","14:20","16:30"
"129","14:00","17:00"
